,강력범죄,교통범죄,기타범죄,노동범죄,마약범죄,병역범죄,보건범죄,선거범죄,안보범죄,절도범죄,지능범죄,특별경제범죄,폭력범죄,풍속범죄,환경범죄,SUM
서울,5337,43206,42198,78,2275,308,4573,129,98,33529,64838,8877,41748,5065,30,252289
부산,1481,16160,20985,12,585,86,2214,31,5,12667,30249,3193,16129,1628,312,105737
대구,925,16619,8181,22,258,90,762,4,4,9306,17979,1762,11002,871,10,67795
인천,1439,14459,16256,9,610,166,959,2,11,8175,19423,2511,14983,1496,90,80589
광주,587,11121,4750,6,156,56,312,3,3,4884,9162,1047,6617,494,5,39203
대전,714,8963,4913,12,96,44,251,2,4,5044,10707,1124,7139,681,17,39711
울산,480,7570,5525,2,68,26,252,6,5,3155,7519,787,5053,537,30,31015
세종,84,1220,965,2,40,7,56,1,0,1043,1410,128,867,95,3,5921
경기 고양,311,5229,3767,3,93,34,294,1,1,2090,7355,764,4015,328,35,24320
경기 과천,19,265,209,0,2,0,2,5,0,120,302,19,150,23,0,1116
경기 광명,96,1377,1102,0,25,10,71,0,0,938,1804,203,1488,145,4,7263
경기 광주,114,3202,1358,2,42,7,113,1,5,945,2109,266,1951,113,53,10281
경기 구리,62,1463,593,0,18,8,74,1,1,482,1129,142,739,81,8,4801
경기 군포,74,900,830,2,20,5,48,0,0,663,1434,197,945,116,0,5234
경기 김포,156,3335,1955,1,84,7,85,0,0,1392,3082,333,2079,131,6,12646
경기 남양주,183,3402,2048,1,41,22,116,3,0,1288,3821,373,2291,209,57,13855
경기 동두천,42,499,365,0,28,1,23,0,0,251,658,76,480,135,6,2564
경기 부천,362,5423,3560,6,140,24,327,1,1,3030,7013,803,4424,394,7,25515
경기 성남,406,5434,4192,4,109,28,390,7,1,2697,5598,819,3522,466,8,23681
경기 수원,565,7580,4900,4,194,54,377,3,3,4201,7683,916,5649,1915,16,34060
경기 시흥,255,4597,2031,13,111,15,177,0,3,1854,4319,483,2784,244,122,17008
경기 안산,371,5930,3168,6,102,29,316,0,1,2638,5248,658,4167,428,42,23104
경기 안성,88,1752,971,0,39,5,116,0,2,709,1170,118,1129,50,4,6153
경기 안양,208,2214,1612,0,59,13,179,0,1,1461,3198,435,2355,382,1,12118
경기 양주,78,1395,973,2,38,3,57,0,0,515,1292,171,955,68,80,5627
경기 여주,55,926,424,9,52,5,14,3,0,318,797,56,572,34,7,3272
경기 오산,109,1677,963,0,45,10,43,0,1,903,1571,169,1268,107,11,6877
경기 용인,286,5453,3610,1,74,28,175,0,1,2242,4771,519,2865,279,133,20437
경기 의왕,28,808,388,1,9,5,17,0,0,172,667,81,385,37,2,2600
경기 의정부,210,2285,1716,3,93,19,84,0,3,1183,3872,353,2691,291,9,12812
경기 이천,87,1797,904,2,49,10,45,1,0,600,1785,137,1237,82,45,6781
경기 파주,126,2963,1467,4,30,13,57,0,3,1093,2908,320,1817,110,111,11022
경기 평택,294,5715,6315,1,159,30,139,0,0,1987,5284,494,3391,194,108,24111
경기 포천,57,1355,700,0,57,6,16,0,0,333,995,112,737,41,90,4499
경기 하남,69,1600,838,2,19,6,70,0,1,721,1661,181,1038,97,32,6335
경기 화성,276,5195,2920,6,112,15,163,1,3,2040,4366,641,3579,272,286,19875
강원 강릉,101,1369,2653,3,17,11,50,2,0,732,1066,130,1013,46,9,7202
강원 동해,40,523,267,0,7,4,14,0,0,226,311,52,498,24,7,1973
강원 삼척,30,417,460,0,0,0,11,0,0,178,287,43,358,19,7,1810
강원 속초,36,684,420,0,1,1,46,1,0,267,592,96,596,37,14,2791
강원 원주,111,2630,1221,1,40,15,110,1,0,1057,2404,320,1564,104,14,9592
강원 춘천,118,1810,1112,1,29,8,60,1,4,841,1839,232,1200,185,9,7449
강원 태백,17,259,195,0,6,0,10,0,0,83,251,33,264,22,2,1142
충북 제천,53,897,389,0,17,6,44,1,0,388,616,59,598,36,0,3104
충북 청주,309,5871,3101,4,90,36,148,0,0,2973,6031,524,3864,316,2,23269
충북 충주,81,1558,615,0,29,5,22,0,3,636,1484,130,888,76,4,5531
충남 계룡,11,96,55,0,3,0,2,0,0,65,89,9,95,3,0,428
충남 공주,48,766,378,0,15,2,17,0,3,278,623,53,387,28,4,2602
충남 논산,49,567,450,5,21,15,19,2,0,421,748,52,435,20,0,2804
충남 당진,53,1383,563,3,33,10,35,0,0,506,770,89,835,48,128,4456
충남 보령,51,704,710,0,29,1,112,0,1,272,468,89,441,35,8,2921
충남 서산,94,1172,643,1,18,5,56,0,0,541,1013,109,824,43,15,4534
충남 아산,113,2109,965,1,44,8,96,0,0,1132,1670,257,1393,100,4,7892
충남 천안,310,4929,2477,5,93,27,153,0,3,2726,4453,413,2728,268,45,18630
전북 군산,96,1715,3324,2,16,10,178,0,0,1055,2220,499,1343,100,4,10562
전북 김제,35,439,201,1,9,2,3,0,0,168,286,32,288,28,1,1493
전북 남원,30,426,223,0,5,2,8,1,1,232,435,40,378,17,3,1801
전북 익산,112,1554,919,0,24,10,46,0,1,905,2021,169,1381,97,9,7248
전북 전주,276,3608,2387,1,23,13,123,0,0,2111,4327,314,2515,237,21,15956
전북 정읍,39,519,361,0,8,3,19,0,0,443,971,40,433,29,1,2866
전남 광양,48,1043,666,0,12,3,38,0,0,385,1046,60,654,57,6,4018
전남 나주,43,692,373,0,18,3,20,0,0,399,579,63,501,30,13,2734
전남 목포,172,2018,1459,5,32,16,108,3,0,1064,2573,224,1491,179,18,9362
전남 순천,120,2037,886,6,23,7,60,9,1,909,1666,166,1387,93,6,7376
전남 여수,131,2378,1988,3,33,12,81,2,0,885,1795,215,1385,99,29,9036
경북 경산,126,1470,834,3,21,13,42,0,1,910,1463,157,1203,89,0,6332
경북 경주,98,1771,770,5,45,10,36,0,0,909,1941,165,1008,58,68,6884
경북 구미,168,2999,1334,1,142,28,56,2,0,1699,3136,300,1426,133,18,11442
경북 김천,55,872,492,1,16,3,36,0,0,392,742,98,606,32,19,3364
경북 문경,18,395,190,0,14,2,3,1,0,137,303,28,251,6,1,1349
경북 상주,26,649,270,0,21,3,20,1,0,275,420,25,320,15,10,2055
경북 안동,73,1001,520,1,34,3,19,0,1,415,930,102,691,86,16,3892
경북 영주,36,627,262,0,11,5,16,0,0,182,492,51,399,31,1,2113
경북 영천,38,944,360,1,11,1,23,0,0,359,490,44,463,23,1,2758
경북 포항,219,3500,3730,6,31,9,107,0,0,2162,2860,335,2013,145,52,15169
경남 거제,102,1467,1039,2,19,10,95,0,1,763,1784,200,1057,65,19,6623
경남 김해,178,3444,2151,6,152,17,184,1,4,2573,4589,473,2539,171,241,16723
경남 밀양,33,728,374,1,18,4,33,0,0,249,640,54,373,23,52,2582
경남 사천,41,821,2724,2,19,8,16,0,0,365,880,76,443,20,25,5440
경남 양산,108,2280,1213,2,47,11,120,1,0,1067,2970,233,1537,96,14,9699
경남 진주,114,1551,1110,2,36,9,108,0,0,1857,2343,227,1733,103,35,9228
경남 창원,383,4945,4813,22,137,40,241,1,0,3386,7224,758,4447,329,98,26824
경남 통영,48,1019,1834,1,18,8,55,0,0,412,820,70,736,43,36,5100
제주 서귀포,115,1916,1198,10,7,9,29,1,0,860,1296,167,1349,72,9,7038
제주 제주,336,4266,3033,44,28,18,145,1,1,2194,4215,564,3763,246,11,18865
기타도시,39,204,4379,3,70,68,78,9,6,38,14713,1083,378,605,31,21704
도시이외,1361,24503,23339,35,564,114,818,28,14,8658,17043,1718,13948,954,736,93833
